Title,Reference
Uptake and translocation of perfluoroalkyl acids (PFAA) in red chicory (<i>Cichorium intybus</i> L.) under various treatments with pre-contaminated soil and irrigation water,"(Gredelj et al., 2020)"
Model-based analysis of the uptake of perfluoroalkyl acids (PFAAs) from soil into plants,"(Gredelj et al., 2020)"
Three potential sources of per- and polyfluoroalkyl substance exposure,"(Lasee et al., 2020)"
Perfluoroalkyl Acid Distribution in Various Plant Compartments of Edible Crops Grown in Biosolids-Amended soils,"(Blaine et al., 2014)"
Uptake of Perfluoroalkyl Acids into Edible Crops via Land Applied Biosolids: Field and Greenhouse Studies,"(Blaine et al., 2013)"
The roles of protein and lipid in the accumulation and distribution of perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) in plants grown in biosolids-amended soils,"(Wen et al., 2016)"
Uptake of perfluorinated alkyl acids by crops: results from a field study,"(Felizeter et al., 2021)"
Field study on the uptake and translocation of perfluoroalkyl acids (PFAAs) by wheat (<i>Triticum aestivum</i> L.) grown in biosolids-amended soils,"(Wen et al., 2014)"
Behavior of N-ethyl perfluorooctane sulfonamido acetic acid (N-EtFOSAA) in biosolids amended soil-plant microcosms of seven plant species: Accumulation and degradation,"(Wen et al., 2018)"
"Uptake of perfluorooctanoic acid, perfluorooctane sulfonate and perfluorooctane sulfonamide by carrot and lettuce from compost amended soil","(Bizkarguenaga et al., 2016)"
Uptake and translocation of multiresidue industrial and household contaminants in radish grown under controlled conditions,"(Abril et al., 2021)"
Commercial compost amendments inhibit the bioavailability and plant uptake of per- and polyfluoroalkyl substances in soil-porewater-lettuce systems,"(Li et al., 2024)"
Cultivar-Dependent Accumulation and Translocation of Perfluorooctanesulfonate among Lettuce (Lactuca sativa L.) Cultivars Grown on Perfluorooctanesulfonate-Contaminated Soil,"(Yu et al., 2018)"
Genotypic variation and mechanism in uptake and translocation of perfluorooctanoic acid (PFOA) in lettuce (<i>Lactuca sativa</i> L.) cultivars grown in PFOA-polluted soils,"(Xiang et al., 2018)"
