Casparian strip,ECFP_7,ECFP_57,ECFP_81,ECFP_125,ECFP_239,ECFP_279,ECFP_295,ECFP_314,ECFP_448,ECFP_520,ECFP_559,ECFP_716,ECFP_744,ECFP_789,ECFP_803,ECFP_808,ECFP_846,ECFP_863,ECFP_865,ECFP_870,ECFP_898,ECFP_911,ECFP_917,ECFP_926,ECFP_969,ECFP_973,ECFP_983,ECFP_996,ECFP_1016,ECFP_1022,Carbon chain length,Additional input,Soil  organic matter,Soil pH,Cation exchange capacity,Sand (%),Exposure time,Initial concentration in soil,Cultivatin condition,Plant species_Alfalfa (Medicago sativa L.),Plant species_Carrot (Daucus carota L.),Plant species_Celery (Apium graveolens L.),Plant species_Italian ryegrass (Lolium multiflorum Lam.),Plant species_Lettuce (Lactuca sativa L.),Plant species_Maize (Zea mays L.),Plant species_Mung bean (Vigna radiata L. Wilczek),Plant species_Pea (Pisum sativum),Plant species_Radish (Rapahnus sativus L.),Plant species_Red chicory(Cichorium inybus L.),Plant species_Soybean (Glycine max L. Merrill),Plant species_Sugar snap pea (Pisum sativum),Plant species_Tomato (Solanum lycopersicum),Plant species_Wheat (Triticum aestivum L.),Plant categories_Cereal,Plant categories_Fruit,Plant categories_Leaf,Plant categories_Legume,Plant categories_Root,Compounds_4:2 FTS,Compounds_6:2 FTS,Compounds_8:2 FTS,Compounds_GenX,Compounds_N-EtFOSAA,Compounds_PFBA/PFBuA,Compounds_PFBS,Compounds_PFDA,Compounds_PFDoDA/PFDoA,Compounds_PFHpA,Compounds_PFHxA,Compounds_PFHxS,Compounds_PFMOAA,Compounds_PFNA,Compounds_PFOA,Compounds_PFOS,Compounds_PFOSA,Compounds_PFPeA,Compounds_PFTeDA/PFTeA,Compounds_PFTrDA,Compounds_PFUnA/PFUnDA,Functional groups_#NAME?,Functional groups_Caboxylate,Functional groups_Sulfonamide,Functional groups_Sulfonate,Plant tissues_Cobs,Plant tissues_Fruit,Plant tissues_Grain,Plant tissues_Hull-Leaves,Plant tissues_Husk,Plant tissues_Leaves,Plant tissues_Peas,Plant tissues_Pods,Plant tissues_Root,Plant tissues_Shoot,Plant tissues_Stem,Log concn.
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.226,2.46,7.8,82.409764,47,87,147.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.465518622
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13.542,2.46,7.8,83.262453,47,87,119.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.062436067
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,14.572,2.46,7.8,83.839265,47,87,137.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.619603536
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,16.974,2.46,7.8,83.84814,47,87,117.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.205074381
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,12.862,2.46,7.8,84.084876,47,87,144.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.940471659
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,8,13.342,2.46,7.8,84.071092,47,87,135.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.139879086
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,13.984,2.46,7.8,83.988522,47,87,129.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.817095787
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,11.61,2.46,7.8,83.597638,47,87,150.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.988448809
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,13.14,2.46,7.8,84.173999,47,87,157.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.94356376
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,130.584,2.46,7.8,82.972623,47,87,154.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.314553327
